,Sequence_name,Prediction,probability
610,|1|Training,Autophagy Protein,95.99%
611,|1|Training,Non-autophagy protein,70.66%
612,|1|Training,Non-autophagy protein,98.64%
613,|1|Training,Non-autophagy protein,96.39%
614,|1|Training,Non-autophagy protein,65.23%
615,|1|Training,Non-autophagy protein,97.04%
616,|1|Training,Non-autophagy protein,97.32%
617,|1|Training,Non-autophagy protein,94.30%
618,|1|Training,Non-autophagy protein,91.04%
619,|1|Training,Autophagy Protein,81.19%
620,|1|Training,Non-autophagy protein,55.81%
621,|1|Training,Non-autophagy protein,88.24%
622,|1|Training,Non-autophagy protein,99.06%
623,|1|Training,Non-autophagy protein,89.94%
624,|1|Training,Non-autophagy protein,65.01%
625,|1|Training,Non-autophagy protein,99.18%
626,|1|Training,Non-autophagy protein,94.78%
627,|1|Training,Non-autophagy protein,94.74%
628,|1|Training,Autophagy Protein,96.61%
629,|1|Training,Autophagy Protein,96.78%
630,|1|Training,Non-autophagy protein,82.52%
631,|1|Training,Non-autophagy protein,98.01%
632,|1|Training,Non-autophagy protein,93.86%
633,|1|Training,Non-autophagy protein,83.52%
634,|1|Training,Non-autophagy protein,56.85%
635,|1|Training,Non-autophagy protein,90.08%
636,|1|Training,Non-autophagy protein,93.96%
637,|1|Training,Non-autophagy protein,90.13%
638,|1|Training,Autophagy Protein,60.70%
639,|1|Training,Non-autophagy protein,94.80%
640,|1|Training,Non-autophagy protein,96.06%
641,|1|Training,Autophagy Protein,56.51%
642,|1|Training,Non-autophagy protein,87.65%
643,|1|Training,Non-autophagy protein,88.91%
644,|1|Training,Autophagy Protein,64.91%
645,|1|Training,Autophagy Protein,92.36%
646,|1|Training,Non-autophagy protein,81.76%
647,|1|Training,Non-autophagy protein,97.82%
648,|1|Training,Non-autophagy protein,54.49%
649,|1|Training,Non-autophagy protein,97.51%
650,|1|Training,Non-autophagy protein,93.00%
651,|1|Training,Non-autophagy protein,92.90%
652,|1|Training,Non-autophagy protein,76.64%
653,|1|Training,Non-autophagy protein,98.00%
654,|1|Training,Non-autophagy protein,76.30%
655,|1|Training,Non-autophagy protein,58.89%
656,|1|Training,Non-autophagy protein,67.19%
657,|1|Training,Non-autophagy protein,91.80%
658,|1|Training,Non-autophagy protein,82.74%
659,|1|Training,Non-autophagy protein,99.32%
660,|1|Training,Non-autophagy protein,99.83%
661,|1|Training,Non-autophagy protein,99.78%
662,|1|Training,Non-autophagy protein,99.12%
663,|1|Training,Non-autophagy protein,75.49%
664,|1|Training,Non-autophagy protein,95.56%
665,|1|Training,Non-autophagy protein,80.98%
666,|1|Training,Non-autophagy protein,98.87%
667,|1|Training,Non-autophagy protein,93.75%
668,|1|Training,Non-autophagy protein,90.85%
669,|1|Training,Non-autophagy protein,73.77%
670,|1|Training,Non-autophagy protein,97.28%
671,|1|Training,Non-autophagy protein,98.37%
672,|1|Training,Non-autophagy protein,75.38%
673,|1|Training,Non-autophagy protein,84.59%
674,|1|Training,Non-autophagy protein,57.02%
675,|1|Training,Non-autophagy protein,98.79%
676,|1|Training,Non-autophagy protein,93.80%
677,|1|Training,Non-autophagy protein,91.45%
678,|1|Training,Non-autophagy protein,95.48%
679,|1|Training,Autophagy Protein,77.38%
680,|1|Training,Non-autophagy protein,97.57%
681,|1|Training,Non-autophagy protein,95.52%
682,|1|Training,Non-autophagy protein,66.39%
683,|1|Training,Non-autophagy protein,62.96%
684,|1|Training,Autophagy Protein,71.25%
685,|1|Training,Non-autophagy protein,64.53%
686,|1|Training,Autophagy Protein,56.82%
687,|1|Training,Non-autophagy protein,86.04%
688,|1|Training,Non-autophagy protein,97.95%
689,|1|Training,Non-autophagy protein,93.02%
690,|1|Training,Autophagy Protein,85.00%
691,|1|Training,Non-autophagy protein,90.17%
692,|1|Training,Non-autophagy protein,90.04%
693,|1|Training,Non-autophagy protein,97.77%
694,|1|Training,Non-autophagy protein,99.54%
695,|1|Training,Non-autophagy protein,58.94%
696,|1|Training,Non-autophagy protein,84.80%
697,|1|Training,Non-autophagy protein,48.31%
698,|1|Training,Non-autophagy protein,91.86%
699,|1|Training,Non-autophagy protein,99.12%
700,|1|Training,Non-autophagy protein,85.84%
701,|1|Training,Non-autophagy protein,98.62%
702,|1|Training,Non-autophagy protein,68.09%
703,|1|Training,Non-autophagy protein,99.60%
704,|1|Training,Non-autophagy protein,79.49%
705,|1|Training,Non-autophagy protein,91.79%
706,|1|Training,Non-autophagy protein,93.67%
707,|1|Training,Non-autophagy protein,91.87%
708,|1|Training,Non-autophagy protein,99.00%
709,|1|Training,Non-autophagy protein,98.92%
710,|1|Training,Non-autophagy protein,98.44%
711,|1|Training,Non-autophagy protein,93.60%
712,|1|Training,Autophagy Protein,69.43%
713,|1|Training,Non-autophagy protein,73.28%
714,|1|Training,Non-autophagy protein,50.91%
715,|1|Training,Non-autophagy protein,99.05%
716,|1|Training,Non-autophagy protein,87.93%
717,|1|Training,Non-autophagy protein,89.70%
718,|1|Training,Non-autophagy protein,87.32%
719,|1|Training,Non-autophagy protein,86.01%
720,|1|Training,Non-autophagy protein,98.90%
721,|1|Training,Non-autophagy protein,97.90%
722,|1|Training,Non-autophagy protein,91.16%
723,|1|Training,Non-autophagy protein,95.76%
724,|1|Training,Non-autophagy protein,95.28%
725,|1|Training,Non-autophagy protein,98.62%
726,|1|Training,Non-autophagy protein,98.91%
727,|1|Training,Non-autophagy protein,90.04%
728,|1|Training,Non-autophagy protein,70.37%
729,|1|Training,Non-autophagy protein,97.21%
730,|1|Training,Non-autophagy protein,98.95%
731,|1|Training,Non-autophagy protein,99.70%
732,|1|Training,Non-autophagy protein,93.83%
733,|1|Training,Non-autophagy protein,90.66%
734,|1|Training,Non-autophagy protein,73.04%
735,|1|Training,Non-autophagy protein,99.22%
736,|1|Training,Non-autophagy protein,96.50%
737,|1|Training,Non-autophagy protein,98.17%
738,|1|Training,Non-autophagy protein,99.46%
739,|1|Training,Non-autophagy protein,99.68%
740,|1|Training,Non-autophagy protein,91.72%
741,|1|Training,Non-autophagy protein,99.50%
742,|1|Training,Non-autophagy protein,96.09%
743,|1|Training,Non-autophagy protein,72.61%
744,|1|Training,Non-autophagy protein,84.26%
745,|1|Training,Non-autophagy protein,99.22%
746,|1|Training,Non-autophagy protein,83.95%
747,|1|Training,Autophagy Protein,92.27%
748,|1|Training,Autophagy Protein,90.02%
749,|1|Training,Non-autophagy protein,97.45%
750,|1|Training,Autophagy Protein,86.91%
751,|1|Training,Non-autophagy protein,99.87%
752,|1|Training,Autophagy Protein,91.36%
753,|1|Training,Autophagy Protein,93.92%
754,|1|Training,Non-autophagy protein,99.81%
755,|1|Training,Non-autophagy protein,94.01%
756,|1|Training,Non-autophagy protein,83.11%
757,|1|Training,Autophagy Protein,91.56%
758,|1|Training,Non-autophagy protein,65.77%
759,|1|Training,Autophagy Protein,53.83%
760,|1|Training,Non-autophagy protein,67.81%
761,|1|Training,Non-autophagy protein,77.84%
762,|1|Training,Non-autophagy protein,87.40%
763,|1|Training,Non-autophagy protein,92.95%
764,|1|Training,Non-autophagy protein,99.48%
765,|1|Training,Non-autophagy protein,97.56%
766,|1|Training,Autophagy Protein,93.29%
767,|1|Training,Autophagy Protein,88.54%
768,|1|Training,Non-autophagy protein,55.48%
769,|1|Training,Non-autophagy protein,99.48%
770,|1|Training,Autophagy Protein,53.54%
771,|1|Training,Non-autophagy protein,99.32%
772,|1|Training,Non-autophagy protein,93.82%
773,|1|Training,Non-autophagy protein,79.08%
774,|1|Training,Non-autophagy protein,90.82%
775,|1|Training,Non-autophagy protein,92.51%
776,|1|Training,Non-autophagy protein,71.63%
777,|1|Training,Non-autophagy protein,99.20%
778,|1|Training,Non-autophagy protein,93.29%
779,|1|Training,Non-autophagy protein,93.01%
780,|1|Training,Non-autophagy protein,96.43%
781,|1|Training,Non-autophagy protein,95.91%
782,|1|Training,Non-autophagy protein,93.45%
783,|1|Training,Non-autophagy protein,96.01%
784,|1|Training,Non-autophagy protein,77.06%
785,|1|Training,Non-autophagy protein,79.16%
786,|1|Training,Non-autophagy protein,97.81%
787,|1|Training,Non-autophagy protein,80.22%
788,|1|Training,Non-autophagy protein,79.78%
789,|1|Training,Non-autophagy protein,76.96%
790,|1|Training,Non-autophagy protein,96.85%
791,|1|Training,Non-autophagy protein,99.60%
792,|1|Training,Non-autophagy protein,93.66%
793,|1|Training,Non-autophagy protein,96.37%
794,|1|Training,Non-autophagy protein,88.11%
795,|1|Training,Non-autophagy protein,89.92%
796,|1|Training,Non-autophagy protein,58.81%
797,|1|Training,Non-autophagy protein,76.81%
798,|1|Training,Non-autophagy protein,97.62%
799,|1|Training,Non-autophagy protein,95.38%
800,|1|Training,Non-autophagy protein,82.13%
801,|1|Training,Non-autophagy protein,95.54%
802,|1|Training,Non-autophagy protein,97.57%
803,|1|Training,Non-autophagy protein,60.35%
804,|1|Training,Non-autophagy protein,99.59%
805,|1|Training,Non-autophagy protein,97.79%
806,|1|Training,Non-autophagy protein,95.23%
807,|1|Training,Non-autophagy protein,77.78%
808,|1|Training,Non-autophagy protein,99.44%
809,|1|Training,Non-autophagy protein,99.38%
810,|1|Training,Non-autophagy protein,99.22%
811,|1|Training,Non-autophagy protein,94.17%
812,|1|Training,Non-autophagy protein,99.44%
813,|1|Training,Non-autophagy protein,93.20%
814,|1|Training,Non-autophagy protein,99.17%
815,|1|Training,Non-autophagy protein,97.18%
816,|1|Training,Non-autophagy protein,99.12%
817,|1|Training,Non-autophagy protein,99.89%
818,|1|Training,Non-autophagy protein,99.85%
819,|1|Training,Non-autophagy protein,99.57%
820,|1|Training,Non-autophagy protein,98.68%
821,|1|Training,Autophagy Protein,52.06%
822,|1|Training,Non-autophagy protein,99.93%
823,|1|Training,Non-autophagy protein,98.37%
824,|1|Training,Non-autophagy protein,98.11%
825,|1|Training,Non-autophagy protein,85.91%
826,|1|Training,Non-autophagy protein,71.81%
827,|1|Training,Non-autophagy protein,66.58%
828,|1|Training,Non-autophagy protein,89.73%
829,|1|Training,Non-autophagy protein,64.69%
830,|1|Training,Non-autophagy protein,91.42%
831,|1|Training,Non-autophagy protein,91.60%
832,|1|Training,Non-autophagy protein,96.69%
833,|1|Training,Non-autophagy protein,97.96%
834,|1|Training,Non-autophagy protein,96.53%
835,|1|Training,Non-autophagy protein,98.33%
836,|1|Training,Non-autophagy protein,92.07%
837,|1|Training,Non-autophagy protein,98.82%
838,|1|Training,Non-autophagy protein,97.09%
839,|1|Training,Non-autophagy protein,82.78%
840,|1|Training,Non-autophagy protein,99.43%
841,|1|Training,Non-autophagy protein,95.46%
842,|1|Training,Non-autophagy protein,99.63%
843,|1|Training,Non-autophagy protein,98.00%
844,|1|Training,Non-autophagy protein,97.11%
845,|1|Training,Non-autophagy protein,79.47%
846,|1|Training,Non-autophagy protein,98.57%
847,|1|Training,Non-autophagy protein,82.30%
848,|1|Training,Non-autophagy protein,65.04%
849,|1|Training,Autophagy Protein,92.51%
850,|1|Training,Autophagy Protein,87.65%
851,|1|Training,Non-autophagy protein,99.47%
852,|1|Training,Autophagy Protein,56.12%
853,|1|Training,Non-autophagy protein,96.31%
854,|1|Training,Non-autophagy protein,84.59%
855,|1|Training,Non-autophagy protein,97.26%
856,|1|Training,Non-autophagy protein,97.68%
857,|1|Training,Non-autophagy protein,84.80%
858,|1|Training,Non-autophagy protein,69.54%
859,|1|Training,Non-autophagy protein,96.75%
860,|1|Training,Non-autophagy protein,98.54%
861,|1|Training,Non-autophagy protein,49.03%
862,|1|Training,Non-autophagy protein,78.15%
863,|1|Training,Non-autophagy protein,50.00%
864,|1|Training,Non-autophagy protein,99.55%
865,|1|Training,Non-autophagy protein,98.61%
866,|1|Training,Non-autophagy protein,77.46%
867,|1|Training,Non-autophagy protein,99.49%
868,|1|Training,Non-autophagy protein,99.72%
869,|1|Training,Non-autophagy protein,95.85%
870,|1|Training,Non-autophagy protein,97.90%
871,|1|Training,Non-autophagy protein,94.87%
872,|1|Training,Non-autophagy protein,97.98%
873,|1|Training,Non-autophagy protein,77.28%
874,|1|Training,Non-autophagy protein,84.78%
875,|1|Training,Non-autophagy protein,93.02%
876,|1|Training,Non-autophagy protein,98.78%
877,|1|Training,Non-autophagy protein,75.70%
878,|1|Training,Autophagy Protein,91.31%
879,|1|Training,Non-autophagy protein,85.53%
880,|1|Training,Autophagy Protein,82.92%
881,|1|Training,Non-autophagy protein,91.38%
882,|1|Training,Non-autophagy protein,67.79%
883,|1|Training,Non-autophagy protein,85.55%
884,|1|Training,Autophagy Protein,67.14%
885,|1|Training,Autophagy Protein,65.09%
886,|1|Training,Autophagy Protein,58.28%
887,|1|Training,Non-autophagy protein,48.37%
888,|1|Training,Autophagy Protein,62.72%
889,|1|Training,Non-autophagy protein,87.36%
890,|1|Training,Non-autophagy protein,99.75%
891,|1|Training,Non-autophagy protein,50.00%
892,|1|Training,Non-autophagy protein,99.71%
893,|1|Training,Non-autophagy protein,89.31%
894,|1|Training,Non-autophagy protein,52.71%
895,|1|Training,Non-autophagy protein,69.94%
896,|1|Training,Non-autophagy protein,98.59%
897,|1|Training,Non-autophagy protein,98.23%
898,|1|Training,Non-autophagy protein,98.60%
899,|1|Training,Non-autophagy protein,89.29%
900,|1|Training,Non-autophagy protein,93.48%
901,|1|Training,Non-autophagy protein,97.59%
902,|1|Training,Non-autophagy protein,99.94%
903,|1|Training,Non-autophagy protein,97.39%
904,|1|Training,Non-autophagy protein,99.64%
905,|1|Training,Non-autophagy protein,91.56%
906,|1|Training,Autophagy Protein,78.22%
907,|1|Training,Non-autophagy protein,97.08%
908,|1|Training,Non-autophagy protein,90.30%
909,|1|Training,Non-autophagy protein,97.65%
910,|1|Training,Non-autophagy protein,59.90%
911,|1|Training,Autophagy Protein,64.35%
912,|1|Training,Non-autophagy protein,52.77%
913,|1|Training,Non-autophagy protein,99.25%
914,|1|Training,Non-autophagy protein,95.48%
915,|1|Training,Non-autophagy protein,99.70%
916,|1|Training,Autophagy Protein,88.85%
917,|1|Training,Non-autophagy protein,97.36%
918,|1|Training,Non-autophagy protein,99.77%
919,|1|Training,Non-autophagy protein,96.61%
920,|1|Training,Non-autophagy protein,88.17%
921,|1|Training,Non-autophagy protein,65.82%
922,|1|Training,Non-autophagy protein,99.12%
923,|1|Training,Non-autophagy protein,97.68%
924,|1|Training,Non-autophagy protein,93.43%
925,|1|Training,Non-autophagy protein,95.94%
926,|1|Training,Non-autophagy protein,76.31%
927,|1|Training,Non-autophagy protein,94.36%
928,|1|Training,Non-autophagy protein,71.77%
929,|1|Training,Non-autophagy protein,77.96%
930,|1|Training,Non-autophagy protein,86.98%
931,|1|Training,Non-autophagy protein,99.61%
932,|1|Training,Non-autophagy protein,96.89%
933,|1|Training,Non-autophagy protein,76.17%
934,|1|Training,Non-autophagy protein,92.93%
935,|1|Training,Non-autophagy protein,99.89%
936,|1|Training,Non-autophagy protein,82.35%
937,|1|Training,Non-autophagy protein,71.55%
938,|1|Training,Non-autophagy protein,99.83%
939,|1|Training,Non-autophagy protein,87.27%
940,|1|Training,Non-autophagy protein,63.55%
941,|1|Training,Non-autophagy protein,73.78%
942,|1|Training,Non-autophagy protein,99.43%
943,|1|Training,Non-autophagy protein,95.82%
944,|1|Training,Non-autophagy protein,99.45%
945,|1|Training,Non-autophagy protein,51.45%
946,|1|Training,Non-autophagy protein,99.47%
947,|1|Training,Autophagy Protein,80.61%
948,|1|Training,Non-autophagy protein,97.07%
949,|1|Training,Non-autophagy protein,99.76%
950,|1|Training,Non-autophagy protein,99.66%
951,|1|Training,Non-autophagy protein,97.48%
952,|1|Training,Non-autophagy protein,99.54%
953,|1|Training,Autophagy Protein,78.10%
954,|1|Training,Non-autophagy protein,94.02%
955,|1|Training,Non-autophagy protein,97.69%
956,|1|Training,Non-autophagy protein,99.53%
957,|1|Training,Autophagy Protein,69.57%
958,|1|Training,Non-autophagy protein,74.94%
959,|1|Training,Non-autophagy protein,91.32%
960,|1|Training,Non-autophagy protein,83.19%
961,|1|Training,Non-autophagy protein,69.29%
962,|1|Training,Non-autophagy protein,82.44%
963,|1|Training,Non-autophagy protein,92.07%
964,|1|Training,Non-autophagy protein,96.00%
965,|1|Training,Non-autophagy protein,56.87%
966,|1|Training,Autophagy Protein,82.44%
967,|1|Training,Non-autophagy protein,74.20%
968,|1|Training,Non-autophagy protein,97.79%
969,|1|Training,Non-autophagy protein,91.66%
970,|1|Training,Non-autophagy protein,90.47%
971,|1|Training,Autophagy Protein,54.14%
972,|1|Training,Non-autophagy protein,98.42%
973,|1|Training,Non-autophagy protein,97.39%
974,|1|Training,Non-autophagy protein,93.83%
975,|1|Training,Non-autophagy protein,95.43%
976,|1|Training,Non-autophagy protein,98.64%
977,|1|Training,Non-autophagy protein,98.89%
978,|1|Training,Non-autophagy protein,95.25%
979,|1|Training,Non-autophagy protein,99.75%
980,|1|Training,Non-autophagy protein,94.31%
981,|1|Training,Non-autophagy protein,98.16%
982,|1|Training,Non-autophagy protein,95.15%
983,|1|Training,Non-autophagy protein,93.11%
984,|1|Training,Non-autophagy protein,80.03%
985,|1|Training,Non-autophagy protein,90.54%
986,|1|Training,Non-autophagy protein,95.87%
987,|1|Training,Non-autophagy protein,94.12%
988,|1|Training,Autophagy Protein,87.71%
989,|1|Training,Non-autophagy protein,96.35%
990,|1|Training,Non-autophagy protein,83.03%
991,|1|Training,Autophagy Protein,92.76%
